event_id,user_id,event_time,event_type
EV-508496,U1270,2026-01-05 18:03:00,add_to_cart
EV-507193,U1796,2026-01-05 18:08:00,app_open
EV-507194,U1796,2026-01-05 18:11:00,product_view
EV-505294,U1470,2026-01-05 23:27:00,app_open
EV-505295,U1470,2026-01-05 23:30:00,product_view
EV-505296,U1470,2026-01-05 23:35:00,product_view
EV-505297,U1470,2026-01-05 23:40:00,product_view
EV-505298,U1470,2026-01-05 23:42:00,add_to_cart
EV-505299,U1470,2026-01-05 23:46:00,checkout_start
EV-505300,U1470,2026-01-05 23:48:00,payment_success
EV-508166,U1807,2026-01-06 01:59:00,app_open
EV-508167,U1807,2026-01-06 02:02:00,product_view
EV-507592,U1160,2026-01-06 03:24:00,app_open
EV-507593,U1160,2026-01-06 03:27:00,product_view
EV-507594,U1160,2026-01-06 03:31:00,add_to_cart
EV-508821,U1675,2026-01-06 07:00:00,app_open
EV-508822,U1675,2026-01-06 07:03:00,product_view
EV-508823,U1675,2026-01-06 07:07:00,add_to_cart
EV-507790,U1261,2026-01-06 08:57:00,app_open
EV-507791,U1261,2026-01-06 09:00:00,product_view
EV-508489,U1544,2026-01-06 13:03:00,app_open
EV-508490,U1544,2026-01-06 13:06:00,product_view
EV-508362,U1080,2026-01-06 21:38:00,app_open
EV-508363,U1080,2026-01-06 21:41:00,product_view
EV-504319,U1377,2026-01-06 23:16:00,app_open
EV-504320,U1377,2026-01-06 23:20:00,product_view
EV-504321,U1377,2026-01-06 23:24:00,add_to_cart
EV-504322,U1377,2026-01-06 23:26:00,checkout_start
EV-504323,U1377,2026-01-06 23:27:00,payment_success
EV-502257,U1205,2026-01-06 23:42:00,app_open
EV-502258,U1205,2026-01-06 23:46:00,product_view
EV-502259,U1205,2026-01-06 23:51:00,product_view
EV-502260,U1205,2026-01-06 23:54:00,add_to_cart
EV-502261,U1205,2026-01-06 23:56:00,checkout_start
EV-502262,U1205,2026-01-06 23:58:00,payment_success
EV-508102,U2368,2026-01-07 04:32:00,app_open
EV-507956,U2129,2026-01-07 04:34:00,app_open
EV-508103,U2368,2026-01-07 04:35:00,product_view
EV-507957,U2129,2026-01-07 04:37:00,product_view
EV-508104,U2368,2026-01-07 04:39:00,add_to_cart
EV-508055,U1264,2026-01-07 12:10:00,app_open
EV-508056,U1264,2026-01-07 12:13:00,product_view
EV-507862,U1504,2026-01-07 15:43:00,app_open
EV-507863,U1504,2026-01-07 15:46:00,product_view
EV-508927,U2204,2026-01-07 19:50:00,app_open
EV-508928,U2204,2026-01-07 19:53:00,product_view
EV-507068,U2214,2026-01-07 20:10:00,app_open
EV-507069,U2214,2026-01-07 20:13:00,product_view
EV-507070,U2214,2026-01-07 20:17:00,add_to_cart
EV-507216,U2062,2026-01-07 21:58:00,app_open
EV-507217,U2062,2026-01-07 22:01:00,product_view
EV-507705,U1865,2026-01-07 23:28:00,app_open
EV-500876,U1083,2026-01-07 23:31:00,app_open
EV-507706,U1865,2026-01-07 23:31:00,product_view
EV-500877,U1083,2026-01-07 23:36:00,product_view
EV-500878,U1083,2026-01-07 23:40:00,product_view
EV-500879,U1083,2026-01-07 23:42:00,product_view
EV-500880,U1083,2026-01-07 23:45:00,add_to_cart
EV-503993,U1354,2026-01-07 23:46:00,app_open
EV-500881,U1083,2026-01-07 23:48:00,checkout_start
EV-503994,U1354,2026-01-07 23:48:00,product_view
EV-500754,U1077,2026-01-07 23:49:00,app_open
EV-500882,U1083,2026-01-07 23:50:00,payment_success
EV-500755,U1077,2026-01-07 23:52:00,product_view
EV-503995,U1354,2026-01-07 23:53:00,product_view
EV-500756,U1077,2026-01-07 23:55:00,product_view
EV-503996,U1354,2026-01-07 23:56:00,add_to_cart
EV-500757,U1077,2026-01-07 23:59:00,add_to_cart
EV-503997,U1354,2026-01-07 23:59:00,checkout_start
EV-503998,U1354,2026-01-08 00:01:00,payment_success
EV-500758,U1077,2026-01-08 00:03:00,checkout_start
EV-500759,U1077,2026-01-08 00:05:00,payment_success
EV-508384,U1556,2026-01-08 00:08:00,app_open
EV-508385,U1556,2026-01-08 00:11:00,product_view
EV-508386,U1556,2026-01-08 00:15:00,add_to_cart
EV-507274,U1116,2026-01-08 00:20:00,app_open
EV-507275,U1116,2026-01-08 00:23:00,product_view
EV-507276,U1116,2026-01-08 00:27:00,add_to_cart
EV-508317,U2258,2026-01-08 04:13:00,app_open
EV-508318,U2258,2026-01-08 04:16:00,product_view
EV-508319,U2258,2026-01-08 04:20:00,add_to_cart
EV-507370,U1219,2026-01-08 07:25:00,app_open
EV-507371,U1219,2026-01-08 07:28:00,product_view
EV-507372,U1219,2026-01-08 07:32:00,add_to_cart
EV-507605,U2445,2026-01-08 11:13:00,app_open
EV-507606,U2445,2026-01-08 11:16:00,product_view
EV-507607,U2445,2026-01-08 11:20:00,add_to_cart
EV-508602,U2028,2026-01-08 12:17:00,app_open
EV-508603,U2028,2026-01-08 12:20:00,product_view
EV-505162,U1449,2026-01-08 23:16:00,app_open
EV-503405,U1311,2026-01-08 23:19:00,app_open
EV-500087,U1006,2026-01-08 23:20:00,app_open
EV-505163,U1449,2026-01-08 23:20:00,product_view
EV-502263,U1205,2026-01-08 23:21:00,app_open
EV-503406,U1311,2026-01-08 23:23:00,product_view
EV-500088,U1006,2026-01-08 23:24:00,product_view
EV-502264,U1205,2026-01-08 23:25:00,product_view
EV-505164,U1449,2026-01-08 23:25:00,product_view
EV-503698,U1334,2026-01-08 23:26:00,app_open
EV-500089,U1006,2026-01-08 23:27:00,product_view
EV-502265,U1205,2026-01-08 23:27:00,add_to_cart
EV-503407,U1311,2026-01-08 23:28:00,product_view
EV-500760,U1077,2026-01-08 23:29:00,app_open
EV-503699,U1334,2026-01-08 23:29:00,product_view
EV-505165,U1449,2026-01-08 23:29:00,add_to_cart
EV-505715,U1514,2026-01-08 23:30:00,app_open
EV-500090,U1006,2026-01-08 23:31:00,product_view
EV-502266,U1205,2026-01-08 23:31:00,checkout_start
EV-503408,U1311,2026-01-08 23:31:00,product_view
EV-502267,U1205,2026-01-08 23:32:00,payment_success
EV-505166,U1449,2026-01-08 23:32:00,checkout_start
EV-503409,U1311,2026-01-08 23:33:00,add_to_cart
EV-503700,U1334,2026-01-08 23:33:00,product_view
EV-505167,U1449,2026-01-08 23:33:00,payment_success
EV-500091,U1006,2026-01-08 23:34:00,add_to_cart
EV-500761,U1077,2026-01-08 23:34:00,product_view
EV-505716,U1514,2026-01-08 23:34:00,product_view
EV-503410,U1311,2026-01-08 23:35:00,checkout_start
EV-503701,U1334,2026-01-08 23:35:00,add_to_cart
EV-505717,U1514,2026-01-08 23:36:00,product_view
EV-500092,U1006,2026-01-08 23:37:00,checkout_start
EV-503411,U1311,2026-01-08 23:37:00,payment_success
EV-503704,U1335,2026-01-08 23:37:00,app_open
EV-500762,U1077,2026-01-08 23:38:00,add_to_cart
EV-503702,U1334,2026-01-08 23:38:00,checkout_start
EV-500093,U1006,2026-01-08 23:39:00,payment_success
EV-500763,U1077,2026-01-08 23:40:00,checkout_start
EV-503703,U1334,2026-01-08 23:40:00,payment_success
EV-503705,U1335,2026-01-08 23:40:00,product_view
EV-505718,U1514,2026-01-08 23:40:00,add_to_cart
EV-500764,U1077,2026-01-08 23:42:00,payment_success
EV-503706,U1335,2026-01-08 23:42:00,add_to_cart
EV-505719,U1514,2026-01-08 23:43:00,checkout_start
EV-503707,U1335,2026-01-08 23:44:00,checkout_start
EV-505720,U1514,2026-01-08 23:45:00,payment_success
EV-503708,U1335,2026-01-08 23:46:00,payment_success
EV-508882,U1972,2026-01-09 00:27:00,app_open
EV-508883,U1972,2026-01-09 00:30:00,product_view
EV-507406,U1815,2026-01-09 05:09:00,app_open
EV-507407,U1815,2026-01-09 05:12:00,product_view
EV-507408,U1815,2026-01-09 05:16:00,add_to_cart
EV-508195,U1284,2026-01-09 06:05:00,app_open
EV-508196,U1284,2026-01-09 06:08:00,product_view
EV-507538,U1742,2026-01-09 10:53:00,app_open
EV-507539,U1742,2026-01-09 10:56:00,product_view
EV-507540,U1742,2026-01-09 11:00:00,add_to_cart
EV-508894,U1880,2026-01-09 19:19:00,app_open
EV-508895,U1880,2026-01-09 19:22:00,product_view
EV-507831,U1098,2026-01-09 20:48:00,app_open
EV-507832,U1098,2026-01-09 20:51:00,product_view
EV-507833,U1098,2026-01-09 20:55:00,add_to_cart
EV-500106,U1010,2026-01-09 23:23:00,app_open
EV-504206,U1371,2026-01-09 23:24:00,app_open
EV-500107,U1010,2026-01-09 23:26:00,product_view
EV-504207,U1371,2026-01-09 23:26:00,product_view
EV-504208,U1371,2026-01-09 23:28:00,add_to_cart
EV-500108,U1010,2026-01-09 23:31:00,product_view
EV-504209,U1371,2026-01-09 23:32:00,checkout_start
EV-504210,U1371,2026-01-09 23:34:00,payment_success
EV-500109,U1010,2026-01-09 23:35:00,add_to_cart
EV-504324,U1377,2026-01-09 23:37:00,app_open
EV-500110,U1010,2026-01-09 23:38:00,checkout_start
EV-500111,U1010,2026-01-09 23:39:00,payment_success
EV-504172,U1369,2026-01-09 23:39:00,app_open
EV-504325,U1377,2026-01-09 23:40:00,product_view
EV-504173,U1369,2026-01-09 23:41:00,product_view
EV-504174,U1369,2026-01-09 23:45:00,product_view
EV-504326,U1377,2026-01-09 23:45:00,product_view
EV-500282,U1032,2026-01-09 23:46:00,app_open
EV-504175,U1369,2026-01-09 23:48:00,add_to_cart
EV-500283,U1032,2026-01-09 23:50:00,product_view
EV-504327,U1377,2026-01-09 23:50:00,product_view
EV-504176,U1369,2026-01-09 23:52:00,checkout_start
EV-500284,U1032,2026-01-09 23:53:00,add_to_cart
EV-504328,U1377,2026-01-09 23:53:00,add_to_cart
EV-504177,U1369,2026-01-09 23:54:00,payment_success
EV-504329,U1377,2026-01-09 23:55:00,checkout_start
EV-500285,U1032,2026-01-09 23:56:00,checkout_start
EV-504330,U1377,2026-01-09 23:57:00,payment_success
EV-500286,U1032,2026-01-09 23:58:00,payment_success
EV-508372,U1675,2026-01-10 02:37:00,app_open
EV-508373,U1675,2026-01-10 02:40:00,product_view
EV-507801,U1437,2026-01-10 02:41:00,app_open
EV-507802,U1437,2026-01-10 02:44:00,product_view
EV-508374,U1675,2026-01-10 02:44:00,add_to_cart
EV-507893,U2392,2026-01-10 09:16:00,app_open
EV-507894,U2392,2026-01-10 09:19:00,product_view
EV-507895,U2392,2026-01-10 09:23:00,add_to_cart
EV-508831,U1505,2026-01-10 10:36:00,app_open
EV-508832,U1505,2026-01-10 10:39:00,product_view
EV-507179,U1922,2026-01-10 11:18:00,app_open
EV-507180,U1922,2026-01-10 11:21:00,product_view
EV-507181,U1922,2026-01-10 11:25:00,add_to_cart
EV-507523,U1470,2026-01-10 12:20:00,app_open
EV-507524,U1470,2026-01-10 12:23:00,product_view
EV-507525,U1470,2026-01-10 12:27:00,add_to_cart
EV-508157,U1451,2026-01-10 14:19:00,app_open
EV-508158,U1451,2026-01-10 14:22:00,product_view
EV-507623,U2209,2026-01-10 16:48:00,app_open
EV-507624,U2209,2026-01-10 16:51:00,product_view
EV-507625,U2209,2026-01-10 16:55:00,add_to_cart
EV-507260,U1786,2026-01-10 18:32:00,app_open
EV-507261,U1786,2026-01-10 18:35:00,product_view
EV-503709,U1335,2026-01-10 23:22:00,app_open
EV-502091,U1190,2026-01-10 23:24:00,app_open
EV-503710,U1335,2026-01-10 23:24:00,product_view
EV-502092,U1190,2026-01-10 23:27:00,product_view
EV-503711,U1335,2026-01-10 23:27:00,add_to_cart
EV-501070,U1099,2026-01-10 23:29:00,app_open
EV-502093,U1190,2026-01-10 23:30:00,add_to_cart
EV-503712,U1335,2026-01-10 23:30:00,checkout_start
EV-501071,U1099,2026-01-10 23:31:00,product_view
EV-503713,U1335,2026-01-10 23:32:00,payment_success
EV-501072,U1099,2026-01-10 23:34:00,product_view
EV-502094,U1190,2026-01-10 23:34:00,checkout_start
EV-502095,U1190,2026-01-10 23:35:00,payment_success
EV-501073,U1099,2026-01-10 23:37:00,product_view
EV-501082,U1100,2026-01-10 23:38:00,app_open
EV-501074,U1099,2026-01-10 23:40:00,add_to_cart
EV-503915,U1347,2026-01-10 23:40:00,app_open
EV-501083,U1100,2026-01-10 23:41:00,product_view
EV-501075,U1099,2026-01-10 23:43:00,checkout_start
EV-501084,U1100,2026-01-10 23:43:00,add_to_cart
EV-504178,U1370,2026-01-10 23:43:00,app_open
EV-503916,U1347,2026-01-10 23:44:00,product_view
EV-503917,U1347,2026-01-10 23:46:00,product_view
EV-504179,U1370,2026-01-10 23:46:00,product_view
EV-501085,U1100,2026-01-10 23:47:00,checkout_start
EV-501086,U1100,2026-01-10 23:48:00,payment_success
EV-503918,U1347,2026-01-10 23:48:00,add_to_cart
EV-503919,U1347,2026-01-10 23:51:00,checkout_start
EV-504180,U1370,2026-01-10 23:51:00,product_view
EV-503920,U1347,2026-01-10 23:53:00,payment_success
EV-504181,U1370,2026-01-10 23:55:00,product_view
EV-504182,U1370,2026-01-10 23:59:00,add_to_cart
EV-504183,U1370,2026-01-11 00:02:00,checkout_start
EV-504184,U1370,2026-01-11 00:04:00,payment_success
EV-508841,U2110,2026-01-11 09:59:00,app_open
EV-508842,U2110,2026-01-11 10:02:00,product_view
EV-508843,U2110,2026-01-11 10:06:00,add_to_cart
EV-508497,U1462,2026-01-11 12:49:00,app_open
EV-508498,U1462,2026-01-11 12:52:00,product_view
EV-508115,U1502,2026-01-11 20:25:00,app_open
EV-508116,U1502,2026-01-11 20:28:00,product_view
EV-508117,U1502,2026-01-11 20:32:00,add_to_cart
EV-500287,U1032,2026-01-11 23:22:00,app_open
EV-503999,U1354,2026-01-11 23:23:00,app_open
EV-500288,U1032,2026-01-11 23:26:00,product_view
EV-504000,U1354,2026-01-11 23:27:00,product_view
EV-504222,U1372,2026-01-11 23:29:00,app_open
EV-500289,U1032,2026-01-11 23:30:00,add_to_cart
EV-504001,U1354,2026-01-11 23:30:00,product_view
EV-500112,U1010,2026-01-11 23:33:00,app_open
EV-500290,U1032,2026-01-11 23:33:00,checkout_start
EV-504223,U1372,2026-01-11 23:33:00,product_view
EV-500291,U1032,2026-01-11 23:34:00,payment_success
EV-504002,U1354,2026-01-11 23:34:00,product_view
EV-504224,U1372,2026-01-11 23:35:00,product_view
EV-504003,U1354,2026-01-11 23:36:00,add_to_cart
EV-500113,U1010,2026-01-11 23:37:00,product_view
EV-504597,U1400,2026-01-11 23:38:00,app_open
EV-504225,U1372,2026-01-11 23:39:00,add_to_cart
EV-500114,U1010,2026-01-11 23:40:00,add_to_cart
EV-504004,U1354,2026-01-11 23:40:00,checkout_start
EV-504226,U1372,2026-01-11 23:42:00,checkout_start
EV-500115,U1010,2026-01-11 23:43:00,checkout_start
EV-504227,U1372,2026-01-11 23:43:00,payment_success
EV-504598,U1400,2026-01-11 23:43:00,product_view
EV-500116,U1010,2026-01-11 23:44:00,payment_success
EV-504599,U1400,2026-01-11 23:46:00,product_view
EV-504600,U1400,2026-01-11 23:49:00,add_to_cart
EV-504601,U1400,2026-01-11 23:53:00,checkout_start
EV-504602,U1400,2026-01-11 23:54:00,payment_success
EV-508234,U1932,2026-01-12 01:20:00,app_open
EV-508235,U1932,2026-01-12 01:23:00,product_view
EV-508236,U1932,2026-01-12 01:27:00,add_to_cart
EV-508442,U2450,2026-01-12 01:51:00,app_open
EV-508443,U2450,2026-01-12 01:54:00,product_view
EV-507889,U1205,2026-01-12 02:27:00,app_open
EV-507890,U1205,2026-01-12 02:30:00,product_view
EV-507355,U2412,2026-01-12 02:48:00,app_open
EV-507356,U2412,2026-01-12 02:51:00,product_view
EV-507837,U1468,2026-01-12 05:58:00,app_open
EV-507838,U1468,2026-01-12 06:01:00,product_view
EV-507839,U1468,2026-01-12 06:05:00,add_to_cart
EV-508008,U1088,2026-01-12 12:21:00,app_open
EV-508009,U1088,2026-01-12 12:24:00,product_view
EV-507868,U2428,2026-01-12 12:58:00,app_open
EV-507869,U2428,2026-01-12 13:01:00,product_view
EV-502297,U1206,2026-01-12 23:27:00,app_open
EV-501992,U1181,2026-01-12 23:28:00,app_open
EV-501993,U1181,2026-01-12 23:32:00,product_view
EV-502298,U1206,2026-01-12 23:32:00,product_view
EV-501994,U1181,2026-01-12 23:34:00,product_view
EV-502299,U1206,2026-01-12 23:36:00,product_view
EV-501995,U1181,2026-01-12 23:37:00,add_to_cart
EV-505168,U1449,2026-01-12 23:37:00,app_open
EV-502300,U1206,2026-01-12 23:38:00,product_view
EV-501996,U1181,2026-01-12 23:40:00,checkout_start
EV-501997,U1181,2026-01-12 23:41:00,payment_success
EV-502301,U1206,2026-01-12 23:41:00,add_to_cart
EV-505169,U1449,2026-01-12 23:42:00,product_view
EV-502302,U1206,2026-01-12 23:44:00,checkout_start
EV-505170,U1449,2026-01-12 23:44:00,add_to_cart
EV-502303,U1206,2026-01-12 23:45:00,payment_success
EV-505171,U1449,2026-01-12 23:46:00,checkout_start
EV-505172,U1449,2026-01-12 23:48:00,payment_success
EV-505983,U1546,2026-01-12 23:48:00,app_open
EV-505984,U1546,2026-01-12 23:53:00,product_view
EV-505985,U1546,2026-01-12 23:57:00,add_to_cart
EV-505986,U1546,2026-01-13 00:00:00,checkout_start
EV-505987,U1546,2026-01-13 00:02:00,payment_success
EV-508788,U1937,2026-01-13 01:23:00,app_open
EV-508789,U1937,2026-01-13 01:26:00,product_view
EV-508739,U2007,2026-01-13 03:13:00,app_open
EV-508740,U2007,2026-01-13 03:16:00,product_view
EV-508741,U2007,2026-01-13 03:20:00,add_to_cart
EV-508554,U1618,2026-01-13 04:06:00,app_open
EV-508555,U1618,2026-01-13 04:09:00,product_view
EV-507922,U2445,2026-01-13 18:16:00,app_open
EV-507923,U2445,2026-01-13 18:19:00,product_view
EV-508323,U2249,2026-01-13 19:08:00,app_open
EV-508324,U2249,2026-01-13 19:11:00,product_view
EV-508325,U2249,2026-01-13 19:15:00,add_to_cart
EV-505356,U1476,2026-01-13 23:24:00,app_open
EV-501413,U1128,2026-01-13 23:28:00,app_open
EV-501457,U1132,2026-01-13 23:28:00,app_open
EV-505357,U1476,2026-01-13 23:29:00,product_view
EV-501458,U1132,2026-01-13 23:31:00,product_view
EV-501414,U1128,2026-01-13 23:32:00,product_view
EV-505358,U1476,2026-01-13 23:32:00,product_view
EV-501459,U1132,2026-01-13 23:33:00,product_view
EV-501415,U1128,2026-01-13 23:34:00,product_view
EV-505359,U1476,2026-01-13 23:34:00,add_to_cart
EV-501460,U1132,2026-01-13 23:35:00,add_to_cart
EV-502520,U1222,2026-01-13 23:38:00,app_open
EV-505360,U1476,2026-01-13 23:38:00,checkout_start
EV-501416,U1128,2026-01-13 23:39:00,product_view
EV-501461,U1132,2026-01-13 23:39:00,checkout_start
EV-506434,U1586,2026-01-13 23:39:00,app_open
EV-501462,U1132,2026-01-13 23:41:00,payment_success
EV-502521,U1222,2026-01-13 23:41:00,product_view
EV-500292,U1032,2026-01-13 23:42:00,app_open
EV-501417,U1128,2026-01-13 23:42:00,add_to_cart
EV-506435,U1586,2026-01-13 23:43:00,product_view
EV-500293,U1032,2026-01-13 23:45:00,product_view
EV-501418,U1128,2026-01-13 23:45:00,checkout_start
EV-502522,U1222,2026-01-13 23:45:00,product_view
EV-501419,U1128,2026-01-13 23:46:00,payment_success
EV-500294,U1032,2026-01-13 23:47:00,product_view
EV-502523,U1222,2026-01-13 23:48:00,product_view
EV-506436,U1586,2026-01-13 23:48:00,product_view
EV-500295,U1032,2026-01-13 23:50:00,product_view
EV-502524,U1222,2026-01-13 23:50:00,add_to_cart
EV-504211,U1371,2026-01-13 23:50:00,app_open
EV-502525,U1222,2026-01-13 23:52:00,checkout_start
EV-504212,U1371,2026-01-13 23:52:00,product_view
EV-506437,U1586,2026-01-13 23:52:00,product_view
EV-508309,U2405,2026-01-13 23:52:00,app_open
EV-500296,U1032,2026-01-13 23:54:00,add_to_cart
EV-508310,U2405,2026-01-13 23:55:00,product_view
EV-506438,U1586,2026-01-13 23:56:00,add_to_cart
EV-500297,U1032,2026-01-13 23:57:00,checkout_start
EV-504213,U1371,2026-01-13 23:57:00,product_view
EV-508753,U2352,2026-01-13 23:57:00,app_open
EV-504214,U1371,2026-01-13 23:59:00,add_to_cart
EV-506439,U1586,2026-01-13 23:59:00,checkout_start
EV-506440,U1586,2026-01-14 00:00:00,payment_success
EV-508754,U2352,2026-01-14 00:00:00,product_view
EV-504215,U1371,2026-01-14 00:03:00,checkout_start
EV-508755,U2352,2026-01-14 00:04:00,add_to_cart
EV-504216,U1371,2026-01-14 00:05:00,payment_success
EV-508444,U1749,2026-01-14 00:51:00,app_open
EV-508445,U1749,2026-01-14 00:54:00,product_view
EV-508446,U1749,2026-01-14 00:58:00,add_to_cart
EV-507264,U1050,2026-01-14 05:13:00,app_open
EV-507265,U1050,2026-01-14 05:16:00,product_view
EV-508393,U2220,2026-01-14 15:20:00,app_open
EV-508394,U2220,2026-01-14 15:23:00,product_view
EV-508570,U1632,2026-01-14 16:43:00,app_open
EV-508571,U1632,2026-01-14 16:46:00,product_view
EV-508572,U1632,2026-01-14 16:50:00,add_to_cart
EV-508423,U1889,2026-01-14 17:16:00,app_open
EV-508424,U1889,2026-01-14 17:19:00,product_view
EV-507566,U1671,2026-01-14 19:31:00,app_open
EV-507567,U1671,2026-01-14 19:34:00,product_view
EV-507353,U1539,2026-01-14 19:41:00,app_open
EV-507354,U1539,2026-01-14 19:44:00,product_view
EV-505584,U1497,2026-01-14 23:18:00,app_open
EV-504331,U1377,2026-01-14 23:22:00,app_open
EV-505585,U1497,2026-01-14 23:22:00,product_view
EV-505586,U1497,2026-01-14 23:25:00,product_view
EV-504332,U1377,2026-01-14 23:27:00,product_view
EV-504333,U1377,2026-01-14 23:29:00,product_view
EV-505587,U1497,2026-01-14 23:30:00,product_view
EV-504334,U1377,2026-01-14 23:31:00,product_view
EV-505588,U1497,2026-01-14 23:33:00,add_to_cart
EV-504335,U1377,2026-01-14 23:35:00,add_to_cart
EV-505589,U1497,2026-01-14 23:36:00,checkout_start
EV-504336,U1377,2026-01-14 23:37:00,checkout_start
EV-505590,U1497,2026-01-14 23:37:00,payment_success
EV-504337,U1377,2026-01-14 23:39:00,payment_success
EV-504360,U1380,2026-01-14 23:40:00,app_open
EV-504361,U1380,2026-01-14 23:45:00,product_view
EV-504362,U1380,2026-01-14 23:47:00,add_to_cart
EV-504363,U1380,2026-01-14 23:51:00,checkout_start
EV-504364,U1380,2026-01-14 23:52:00,payment_success
EV-507947,U2478,2026-01-14 23:59:00,app_open
EV-507948,U2478,2026-01-15 00:02:00,product_view
EV-508670,U2387,2026-01-15 02:21:00,app_open
EV-508671,U2387,2026-01-15 02:24:00,product_view
EV-508672,U2387,2026-01-15 02:28:00,add_to_cart
EV-507968,U1220,2026-01-15 09:55:00,app_open
EV-507969,U1220,2026-01-15 09:58:00,product_view
EV-507970,U1220,2026-01-15 10:02:00,add_to_cart
EV-508128,U2157,2026-01-15 10:06:00,app_open
EV-508129,U2157,2026-01-15 10:09:00,product_view
EV-508130,U2157,2026-01-15 10:13:00,add_to_cart
EV-504365,U1380,2026-01-15 23:17:00,app_open
EV-504228,U1372,2026-01-15 23:18:00,app_open
EV-504366,U1380,2026-01-15 23:22:00,product_view
EV-504229,U1372,2026-01-15 23:23:00,product_view
EV-504367,U1380,2026-01-15 23:24:00,product_view
EV-504230,U1372,2026-01-15 23:28:00,product_view
EV-504368,U1380,2026-01-15 23:28:00,add_to_cart
EV-504231,U1372,2026-01-15 23:30:00,add_to_cart
EV-504017,U1356,2026-01-15 23:31:00,app_open
EV-506178,U1563,2026-01-15 23:31:00,app_open
EV-504369,U1380,2026-01-15 23:32:00,checkout_start
EV-504725,U1409,2026-01-15 23:32:00,app_open
EV-504018,U1356,2026-01-15 23:34:00,product_view
